#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2017 10 08 21 50 260  3.0   MM    MM    MM    MM  MM 1025.5  12.3    MM   8.3   MM   MM    MM
2017 10 08 20 50 270  4.0   MM    MM    MM    MM  MM 1025.3  12.0    MM   8.7   MM   MM    MM
2017 10 08 19 50 120  2.0   MM    MM    MM    MM  MM 1025.4  12.0    MM   9.1   MM   MM    MM
2017 10 08 18 50 250  1.0   MM    MM    MM    MM  MM 1025.1  10.9    MM   9.5   MM   MM    MM
2017 10 08 17 50 260  2.0   MM    MM    MM    MM  MM 1024.6   9.9    MM   8.9   MM   MM    MM
2017 10 08 16 50 150  3.0   MM    MM    MM    MM  MM 1023.9   9.5    MM   8.6   MM   MM    MM
2017 10 08 15 50 220  1.0   MM    MM    MM    MM  MM 1022.8   8.7    MM   7.7   MM   MM    MM
2017 10 08 14 50 190  2.0   MM    MM    MM    MM  MM 1021.5  11.0    MM   8.5   MM   MM    MM
2017 10 08 13 50  70  2.0   MM    MM    MM    MM  MM 1020.2  11.2    MM   8.4   MM   MM    MM
2017 10 08 12 50 190  2.0   MM    MM    MM    MM  MM 1019.4  11.3    MM   8.1   MM   MM    MM
2017 10 08 11 50 180  3.0   MM    MM    MM    MM  MM 1018.6  11.2    MM   9.2   MM   MM    MM
2017 10 08 10 50 100  4.0   MM    MM    MM    MM  MM 1018.1  11.1    MM   8.9   MM   MM    MM
2017 10 08 09 50  80  3.0   MM    MM    MM    MM  MM 1017.8  10.9    MM   9.3   MM   MM    MM
2017 10 08 08 50 100  3.0   MM    MM    MM    MM  MM 1017.0  11.1    MM   9.2   MM   MM    MM
2017 10 08 07 50 110  4.0   MM    MM    MM    MM  MM 1016.5  11.0    MM   9.3   MM   MM    MM
2017 10 08 06 50 160  3.0   MM    MM    MM    MM  MM 1016.0  11.2    MM   9.0   MM   MM    MM
2017 10 08 05 50  60  1.0   MM    MM    MM    MM  MM 1015.4  11.2    MM   9.3   MM   MM    MM
2017 10 08 04 50 110  2.0   MM    MM    MM    MM  MM 1014.7  11.7    MM   9.4   MM   MM    MM
2017 10 08 03 50  50  3.0   MM    MM    MM    MM  MM 1014.0  11.5    MM   9.2   MM   MM    MM
2017 10 08 02 50  40  4.0   MM    MM    MM    MM  MM 1013.5  11.8    MM   9.6   MM   MM    MM
2017 10 08 01 50 100  3.0   MM    MM    MM    MM  MM 1013.2  12.2    MM   9.6   MM   MM    MM
2017 10 08 00 50  60  4.0   MM    MM    MM    MM  MM 1013.0  11.8    MM   9.1   MM   MM    MM
2017 10 07 23 50 120  3.0   MM    MM    MM    MM  MM 1013.3  12.5    MM   8.9   MM   MM    MM
2017 10 07 22 50 210  6.0   MM    MM    MM    MM  MM 1013.3  12.8    MM   8.3   MM   MM    MM
2017 10 07 21 50 190  4.0   MM    MM    MM    MM  MM 1013.5  12.4    MM   8.6   MM   MM    MM
2017 10 07 20 50 170  8.0   MM    MM    MM    MM  MM 1013.5  12.6    MM   7.7   MM   MM    MM
2017 10 07 19 40 140  4.0   MM    MM    MM    MM  MM 1014.0  12.1    MM   8.9   MM   MM    MM
2017 10 07 18 50 160  3.0   MM    MM    MM    MM  MM 1013.9  12.4    MM   8.3   MM   MM    MM
2017 10 07 17 50  70  5.0   MM    MM    MM    MM  MM 1013.8  11.8    MM   8.9   MM   MM    MM
2017 10 07 16 50  50  6.0   MM    MM    MM    MM  MM 1013.5  11.2    MM   8.7   MM   MM    MM
2017 10 07 15 50  70  6.0   MM    MM    MM    MM  MM 1012.9  11.1    MM   8.5   MM   MM    MM
2017 10 07 14 50 110  6.0   MM    MM    MM    MM  MM 1012.6  10.9    MM   8.3   MM   MM    MM
2017 10 07 13 50 120  5.0   MM    MM    MM    MM  MM 1012.5  11.2    MM   8.1   MM   MM    MM
2017 10 07 12 50  70  5.0   MM    MM    MM    MM  MM 1012.5  11.4    MM   8.9   MM   MM    MM
2017 10 07 11 50 120  5.0   MM    MM    MM    MM  MM 1012.5  11.5    MM   8.8   MM   MM    MM
2017 10 07 10 50 130  3.0   MM    MM    MM    MM  MM 1012.2  11.9    MM   7.9   MM   MM    MM
2017 10 07 09 50 110  4.0   MM    MM    MM    MM  MM 1012.1  12.0    MM   8.7   MM   MM    MM
2017 10 07 08 50 130  4.0   MM    MM    MM    MM  MM 1012.0  12.1    MM   8.2   MM   MM    MM
2017 10 07 07 50 120  6.0   MM    MM    MM    MM  MM 1011.8  12.0    MM   8.2   MM   MM    MM
2017 10 07 06 50 140  5.0   MM    MM    MM    MM  MM 1011.2  12.1    MM   8.9   MM   MM    MM
2017 10 07 05 50 190  3.0   MM    MM    MM    MM  MM 1010.3  11.9    MM   9.5   MM   MM    MM
2017 10 07 04 50 130  4.0   MM    MM    MM    MM  MM 1010.1  12.7    MM  11.0   MM   MM    MM
2017 10 07 03 50 120 12.0   MM    MM    MM    MM  MM 1009.4  14.5    MM  10.0   MM   MM    MM
